,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,SIDO,GUNGU,GENDER,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_PRIORITY,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,DGSTFN
23628,카멜리아힐,1.0,제주,서귀포시,1,20,1,5,4,2,2,2,4,4,6,4,2.0,5.0
23629,제주관광공사 지정면세점,4.0,제주,서귀포시,1,20,1,5,4,2,2,2,4,4,6,4,2.0,4.0
23630,제주동문재래야시장,4.0,제주,제주시,1,20,1,5,4,2,2,2,4,4,6,4,2.0,5.0
23631,한라산국립공원,1.0,제주,제주시,0,30,1,5,2,2,2,3,2,4,3,4,1.0,5.0
23632,제주관광공사 지정면세점,4.0,제주,서귀포시,0,30,1,5,2,2,2,3,2,4,3,4,1.0,5.0
23633,신창풍차해안,7.0,제주,제주시,1,20,1,24,3,2,2,3,3,6,6,7,2.0,5.0
23634,서귀포매일올레시장,4.0,제주,서귀포시,1,20,1,24,3,2,2,3,3,6,6,7,2.0,5.0
23635,금능해수욕장,1.0,제주,제주시,1,20,1,24,3,2,2,3,3,6,6,7,2.0,4.0
23636,한림공원,1.0,제주,제주시,1,20,1,24,3,2,2,3,3,6,6,7,2.0,4.0
23637,9.81파크,5.0,제주,제주시,1,20,1,24,3,2,2,3,3,6,6,7,2.0,1.0
23638,이호테우해수욕장,1.0,제주,제주시,1,20,1,24,3,2,2,3,3,6,6,7,2.0,4.0
23639,우보악,7.0,제주,서귀포시,1,40,1,21,2,2,2,5,2,2,1,5,1.0,4.0
23640,거린사슴 전망대,1.0,제주,서귀포시,1,40,1,21,2,2,2,5,2,2,1,5,1.0,4.0
23641,강화성당,2.0,인천,강화군,1,50,7,3,2,4,2,4,4,4,1,4,3.0,5.0
23642,용흥궁,2.0,인천,강화군,1,50,7,3,2,4,2,4,4,4,1,4,3.0,5.0
23643,제주허브동산,6.0,제주,서귀포시,0,40,0,24,2,2,2,4,4,2,3,2,1.0,5.0
23644,도두동무지개해안도로,1.0,제주,제주시,0,30,3,22,4,4,1,3,6,4,6,6,1.0,5.0
23645,이마트 서귀포점,4.0,제주,서귀포시,0,30,3,22,4,4,1,3,6,4,6,6,1.0,5.0
23646,세계자동차&피아노박물관,2.0,제주,서귀포시,0,30,3,22,4,4,1,3,6,4,6,6,1.0,5.0
23647,김녕미로공원,1.0,제주,제주시,0,30,3,22,4,4,1,3,6,4,6,6,1.0,5.0
23648,한옥카페 갤러리도솔,3.0,인천,강화군,1,30,3,6,3,1,6,6,4,4,6,2,3.0,5.0
23649,헬로키티아일랜드,6.0,제주,서귀포시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23650,브릭캠퍼스 제주,6.0,제주,제주시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23651,제주동문공설시장(야시장),4.0,제주,제주시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23652,이호테우해수욕장,1.0,제주,제주시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23653,제주관광공사 지정면세점,4.0,제주,서귀포시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,4.0
23654,피규어뮤지엄제주,3.0,제주,서귀포시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23655,서귀포매일올레시장,4.0,제주,서귀포시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23656,얼라이브카트,5.0,제주,서귀포시,1,40,3,2,6,2,4,1,3,3,2,6,3.0,5.0
23657,신창풍차해안도로,1.0,제주,제주시,1,20,3,24,2,1,4,5,6,4,5,5,3.0,5.0
23658,새별오름,1.0,제주,제주시,1,20,3,24,2,1,4,5,6,4,5,5,3.0,5.0
23659,함덕해수욕장,1.0,제주,제주시,1,20,3,24,2,1,4,5,6,4,5,5,3.0,4.0
23660,쇠소깍관광지,1.0,제주,서귀포시,1,20,3,24,2,1,4,5,6,4,5,5,3.0,5.0
23661,오설록티뮤지엄,3.0,제주,서귀포시,1,20,3,24,2,1,4,5,6,4,5,5,3.0,5.0
23662,비밀의숲,1.0,제주,제주시,1,20,3,24,2,1,4,5,6,4,5,5,3.0,4.0
23663,씨에스호텔앤리조트,2.0,제주,서귀포시,0,40,0,5,3,2,3,2,4,3,2,6,1.0,5.0
23664,서귀포치유의숲,1.0,제주,서귀포시,0,40,0,5,3,2,3,2,4,3,2,6,1.0,5.0
23665,서귀포매일올레시장,4.0,제주,서귀포시,0,40,0,5,3,2,3,2,4,3,2,6,1.0,5.0
23666,스누피가든,3.0,제주,제주시,0,40,0,5,3,2,3,2,4,3,2,6,1.0,5.0
23667,한라산국립공원 영실탐방로,1.0,제주,서귀포시,0,40,0,5,3,2,3,2,4,3,2,6,1.0,5.0
23668,자구리문화예술공원,1.0,제주,서귀포시,0,40,0,5,3,2,3,2,4,3,2,6,1.0,4.0
23669,수월봉전기자전거,5.0,제주,제주시,1,20,1,5,1,1,2,3,1,3,1,7,4.0,5.0
23670,협재해수욕장,1.0,제주,제주시,1,20,1,5,1,1,2,3,1,3,1,7,4.0,5.0
23671,사계해변,1.0,제주,서귀포시,1,20,1,5,1,1,2,3,1,3,1,7,4.0,2.0
23672,새별오름,1.0,제주,제주시,1,20,1,5,1,1,2,3,1,3,1,7,4.0,5.0
23673,장한철 생가,2.0,제주,제주시,1,40,1,1,2,3,5,2,2,2,1,2,2.0,3.0
23674,한담해변,7.0,제주,제주시,1,40,1,1,2,3,5,2,2,2,1,2,2.0,4.0
23675,제주대벚꽃길,7.0,제주,제주시,1,40,1,1,2,3,5,2,2,2,1,2,2.0,4.0
23676,돌염전,2.0,제주,제주시,1,40,1,1,2,3,5,2,2,2,1,2,2.0,3.0
23677,용두암,7.0,제주,제주시,0,20,1,1,1,2,2,3,2,2,5,6,1.0,5.0
23678,코난해변,5.0,제주,제주시,0,20,1,1,1,2,2,3,2,2,5,6,1.0,5.0
23679,김녕해수욕장,1.0,제주,제주시,0,20,1,1,1,2,2,3,2,2,5,6,1.0,5.0
23680,협재해수욕장,1.0,제주,제주시,0,20,1,1,1,2,2,3,2,2,5,6,1.0,5.0
23681,서귀포매일올레시장,4.0,제주,서귀포시,0,20,1,1,1,2,2,3,2,2,5,6,1.0,5.0
23682,제주해녀 항일운동기념공원,2.0,제주,제주시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23683,터진목,2.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23684,플레이스캠프제주,4.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,4.0
23685,성산일출봉,1.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23686,사진말전문갤러리 마음빛그리미,3.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23687,해녀박물관,2.0,제주,제주시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23688,광치기해변,1.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23689,큰엉,1.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23690,세화해변,1.0,제주,제주시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23691,성산마을제단,2.0,제주,서귀포시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23692,세화민속오일시장,4.0,제주,제주시,1,40,0,3,1,1,1,1,1,1,7,7,1.0,5.0
23693,올레야시장,4.0,제주,서귀포시,1,60,1,10,2,2,2,3,2,4,6,4,2.0,5.0
23694,제주중문관광단지,4.0,제주,서귀포시,1,60,1,10,2,2,2,3,2,4,6,4,2.0,4.0
23695,왈종미술관,3.0,제주,서귀포시,1,60,1,10,2,2,2,3,2,4,6,4,2.0,4.0
23696,윌라라 (허영만의 백반기행 촬영지),2.0,제주,서귀포시,1,30,0,12,4,2,2,4,6,5,5,6,2.0,5.0
23697,고성오일시장 (우리들의블루스 촬영지),4.0,제주,서귀포시,1,30,0,12,4,2,2,4,6,5,5,6,2.0,4.0
